Trial noise_type coaxial_lum test_lum match_lum grating_freq grating_contrast noise_freq rep
103 global 1.0 0.5 -3.335933 .2 0.1 0.19 0
104 global -1.0 0.5 8.695028 .2 0.1 0.19 1
105 global 1.0 0.5 -18.172754 .2 0.1 0.19 26
106 global -1.0 0.5 -16.578625 .2 0.1 0.19 26
107 global 1.0 0.5 7.357690 .2 0.1 0.19 1
108 global -1.0 0.5 -6.673606 .2 0.1 0.19 2
109 global 1.0 0.5 -16.326445 .2 0.1 0.19 27
110 global -1.0 0.5 -14.390375 .2 0.1 0.19 27
111 global 1.0 0.5 -8.099556 .2 0.1 0.19 2
112 global -1.0 0.5 9.385837 .2 0.1 0.19 3
113 global 1.0 0.5 -0.717729 .2 0.1 0.19 28
114 global -1.0 0.5 1.524466 .2 0.1 0.19 28
115 global 1.0 0.5 5.476640 .2 0.1 0.19 3
116 global -1.0 0.5 1.670075 .2 0.1 0.19 4
117 global 1.0 0.5 -16.229965 .2 0.1 0.19 29
118 global -1.0 0.5 -14.141358 .2 0.1 0.19 29
119 global 1.0 0.5 0.690491 .2 0.1 0.19 4
120 global -1.0 0.5 7.891104 .2 0.1 0.19 5
121 global 1.0 0.5 -18.390001 .2 0.1 0.19 30
122 global -1.0 0.5 -20.618223 .2 0.1 0.19 30
123 global 1.0 0.5 9.664079 .2 0.1 0.19 5
124 global -1.0 0.5 10.115007 .2 0.1 0.19 6
125 global 1.0 0.5 -1.094479 .2 0.1 0.19 31
126 global -1.0 0.5 0.750313 .2 0.1 0.19 31
127 global 1.0 0.5 9.274447 .2 0.1 0.19 6
128 global -1.0 0.5 3.028391 .2 0.1 0.19 7
129 global 1.0 0.5 -2.377262 .2 0.1 0.19 32
130 global -1.0 0.5 -1.497847 .2 0.1 0.19 32
131 global 1.0 0.5 1.033080 .2 0.1 0.19 7
132 global -1.0 0.5 -10.980953 .2 0.1 0.19 8
133 global 1.0 0.5 14.121326 .2 0.1 0.19 33
134 global -1.0 0.5 17.831884 .2 0.1 0.19 33
135 global 1.0 0.5 -14.425946 .2 0.1 0.19 8
136 global -1.0 0.5 0.890288 .2 0.1 0.19 9
137 global 1.0 0.5 -7.922444 .2 0.1 0.19 34
138 global -1.0 0.5 -6.397620 .2 0.1 0.19 34
139 global 1.0 0.5 -2.686371 .2 0.1 0.19 9
140 global -1.0 0.5 6.684328 .2 0.1 0.19 10
141 global 1.0 0.5 0.229205 .2 0.1 0.19 35
142 global -1.0 0.5 3.752792 .2 0.1 0.19 35
143 global 1.0 0.5 8.164250 .2 0.1 0.19 10
144 global -1.0 0.5 12.195357 .2 0.1 0.19 11
145 global 1.0 0.5 -1.847657 .2 0.1 0.19 36
146 global -1.0 0.5 -1.419853 .2 0.1 0.19 36
147 global 1.0 0.5 11.309885 .2 0.1 0.19 11
148 global -1.0 0.5 -24.223362 .2 0.1 0.19 12
149 global 1.0 0.5 14.308169 .2 0.1 0.19 37
150 global -1.0 0.5 15.772782 .2 0.1 0.19 37
151 global 1.0 0.5 -28.330738 .2 0.1 0.19 12
152 global -1.0 0.5 -11.129456 .2 0.1 0.19 13
153 global 1.0 0.5 8.000651 .2 0.1 0.19 38
154 global -1.0 0.5 11.758309 .2 0.1 0.19 38
155 global 1.0 0.5 -12.485198 .2 0.1 0.19 13
156 global -1.0 0.5 32.206146 .2 0.1 0.19 14
157 global 1.0 0.5 -18.577492 .2 0.1 0.19 39
158 global -1.0 0.5 -19.205830 .2 0.1 0.19 39
159 global 1.0 0.5 30.049711 .2 0.1 0.19 14
160 global -1.0 0.5 28.060230 .2 0.1 0.19 15
161 global 1.0 0.5 -10.940890 .2 0.1 0.19 40
162 global -1.0 0.5 -7.623191 .2 0.1 0.19 40
163 global 1.0 0.5 22.478889 .2 0.1 0.19 15
164 global -1.0 0.5 -9.900104 .2 0.1 0.19 16
165 global 1.0 0.5 -11.114525 .2 0.1 0.19 41
166 global -1.0 0.5 -6.637799 .2 0.1 0.19 41
167 global 1.0 0.5 -9.136202 .2 0.1 0.19 16
168 global -1.0 0.5 26.830317 .2 0.1 0.19 17
169 global 1.0 0.5 -17.462040 .2 0.1 0.19 42
170 global -1.0 0.5 -12.590279 .2 0.1 0.19 42
171 global 1.0 0.5 23.657383 .2 0.1 0.19 17
172 global -1.0 0.5 21.766024 .2 0.1 0.19 18
173 global 1.0 0.5 -8.587764 .2 0.1 0.19 43
174 global -1.0 0.5 -6.778674 .2 0.1 0.19 43
175 global 1.0 0.5 20.928164 .2 0.1 0.19 18
176 global -1.0 0.5 -8.401621 .2 0.1 0.19 19
177 global 1.0 0.5 -3.900696 .2 0.1 0.19 44
178 global -1.0 0.5 -3.007791 .2 0.1 0.19 44
179 global 1.0 0.5 -10.901215 .2 0.1 0.19 19
180 global -1.0 0.5 28.239073 .2 0.1 0.19 20
181 global 1.0 0.5 -41.086735 .2 0.1 0.19 45
182 global -1.0 0.5 -38.425751 .2 0.1 0.19 45
183 global 1.0 0.5 26.043293 .2 0.1 0.19 20
184 global -1.0 0.5 10.784673 .2 0.1 0.19 21
185 global 1.0 0.5 28.596840 .2 0.1 0.19 46
186 global -1.0 0.5 29.531605 .2 0.1 0.19 46
187 global 1.0 0.5 9.136903 .2 0.1 0.19 21
188 global -1.0 0.5 26.448977 .2 0.1 0.19 22
189 global 1.0 0.5 2.594931 .2 0.1 0.19 47
190 global -1.0 0.5 2.942154 .2 0.1 0.19 47
191 global 1.0 0.5 25.229387 .2 0.1 0.19 22
192 global -1.0 0.5 -5.837278 .2 0.1 0.19 23
193 global 1.0 0.5 -25.088806 .2 0.1 0.19 48
194 global -1.0 0.5 -19.612495 .2 0.1 0.19 48
195 global 1.0 0.5 -6.125409 .2 0.1 0.19 23
196 global -1.0 0.5 -17.509411 .2 0.1 0.19 24
197 global 1.0 0.5 0.487522 .2 0.1 0.19 49
198 global -1.0 0.5 2.184263 .2 0.1 0.19 49
199 global 1.0 0.5 -15.888755 .2 0.1 0.19 24
200 global -1.0 0.5 13.171453 .2 0.1 0.33 0
201 global 1.0 0.5 -15.101126 .2 0.1 0.33 25
202 global -1.0 0.5 -9.841833 .2 0.1 0.33 25
203 global 1.0 0.5 8.636232 .2 0.1 0.33 0
204 global -1.0 0.5 8.738647 .2 0.1 0.33 1
205 global 1.0 0.5 -3.465278 .2 0.1 0.33 26
206 global -1.0 0.5 1.645267 .2 0.1 0.33 26
207 global 1.0 0.5 4.149602 .2 0.1 0.33 1
208 global -1.0 0.5 -4.934721 .2 0.1 0.33 2
209 global 1.0 0.5 1.483721 .2 0.1 0.33 27
210 global -1.0 0.5 5.346684 .2 0.1 0.33 27
211 global 1.0 0.5 -9.029588 .2 0.1 0.33 2
212 global -1.0 0.5 4.538057 .2 0.1 0.33 3
213 global 1.0 0.5 -0.564762 .2 0.1 0.33 28
214 global -1.0 0.5 3.021481 .2 0.1 0.33 28
215 global 1.0 0.5 0.315819 .2 0.1 0.33 3
216 global -1.0 0.5 8.389244 .2 0.1 0.33 4
217 global 1.0 0.5 -2.031878 .2 0.1 0.33 29
218 global -1.0 0.5 2.983384 .2 0.1 0.33 29
219 global 1.0 0.5 3.375073 .2 0.1 0.33 4
220 global -1.0 0.5 3.184510 .2 0.1 0.33 5
221 global 1.0 0.5 -16.655571 .2 0.1 0.33 30
222 global -1.0 0.5 -10.973490 .2 0.1 0.33 30
223 global 1.0 0.5 -1.312953 .2 0.1 0.33 5
224 global -1.0 0.5 -2.518536 .2 0.1 0.33 6
225 global 1.0 0.5 -6.009770 .2 0.1 0.33 31
226 global -1.0 0.5 -1.088487 .2 0.1 0.33 31
227 global 1.0 0.5 -7.533322 .2 0.1 0.33 6
228 global -1.0 0.5 -9.331303 .2 0.1 0.33 7
229 global 1.0 0.5 -0.186236 .2 0.1 0.33 32
230 global -1.0 0.5 4.058722 .2 0.1 0.33 32
231 global 1.0 0.5 -13.127058 .2 0.1 0.33 7
232 global -1.0 0.5 10.770189 .2 0.1 0.33 8
233 global 1.0 0.5 -2.613175 .2 0.1 0.33 33
234 global -1.0 0.5 2.092778 .2 0.1 0.33 33
235 global 1.0 0.5 6.665056 .2 0.1 0.33 8
236 global -1.0 0.5 11.312119 .2 0.1 0.33 9
237 global 1.0 0.5 -1.735213 .2 0.1 0.33 34
238 global -1.0 0.5 2.406117 .2 0.1 0.33 34
239 global 1.0 0.5 6.946081 .2 0.1 0.33 9
240 global -1.0 0.5 5.951492 .2 0.1 0.33 10
241 global 1.0 0.5 -13.126703 .2 0.1 0.33 35
242 global -1.0 0.5 -7.159619 .2 0.1 0.33 35
243 global 1.0 0.5 1.038035 .2 0.1 0.33 10
244 global -1.0 0.5 6.273632 .2 0.1 0.33 11
245 global 1.0 0.5 -1.374427 .2 0.1 0.33 36
246 global -1.0 0.5 3.831139 .2 0.1 0.33 36
247 global 1.0 0.5 2.260035 .2 0.1 0.33 11
248 global -1.0 0.5 4.266126 .2 0.1 0.33 12
249 global 1.0 0.5 6.334619 .2 0.1 0.33 37
250 global -1.0 0.5 9.760515 .2 0.1 0.33 37
251 global 1.0 0.5 -0.810648 .2 0.1 0.33 12
252 global -1.0 0.5 14.401402 .2 0.1 0.33 13
253 global 1.0 0.5 -13.784690 .2 0.1 0.33 38
254 global -1.0 0.5 -7.643699 .2 0.1 0.33 38
255 global 1.0 0.5 9.431838 .2 0.1 0.33 13
256 global -1.0 0.5 10.694073 .2 0.1 0.33 14
257 global 1.0 0.5 -11.006600 .2 0.1 0.33 39
258 global -1.0 0.5 -9.305008 .2 0.1 0.33 39
259 global 1.0 0.5 6.315481 .2 0.1 0.33 14
260 global -1.0 0.5 5.644014 .2 0.1 0.33 15
261 global 1.0 0.5 -1.574531 .2 0.1 0.33 40
262 global -1.0 0.5 3.684095 .2 0.1 0.33 40
263 global 1.0 0.5 1.980310 .2 0.1 0.33 15
264 global -1.0 0.5 -1.096489 .2 0.1 0.33 16
265 global 1.0 0.5 1.994183 .2 0.1 0.33 41
266 global -1.0 0.5 7.034928 .2 0.1 0.33 41
267 global 1.0 0.5 -6.736642 .2 0.1 0.33 16
