Trial noise_type coaxial_lum test_lum match_lum grating_freq grating_contrast noise_freq rep
105 global 1.0 0.5 0.444971 .2 0.1 0.19 26
106 global -1.0 0.5 0.446875 .2 0.1 0.19 26
107 global 1.0 0.5 0.529154 .2 0.1 0.19 1
108 global -1.0 0.5 0.480375 .2 0.1 0.19 2
109 global 1.0 0.5 0.461219 .2 0.1 0.19 27
110 global -1.0 0.5 0.460898 .2 0.1 0.19 27
111 global 1.0 0.5 0.482722 .2 0.1 0.19 2
112 global -1.0 0.5 0.522284 .2 0.1 0.19 3
113 global 1.0 0.5 0.499423 .2 0.1 0.19 28
114 global -1.0 0.5 0.499900 .2 0.1 0.19 28
115 global 1.0 0.5 0.523354 .2 0.1 0.19 3
116 global -1.0 0.5 0.501143 .2 0.1 0.19 4
117 global 1.0 0.5 0.464102 .2 0.1 0.19 29
118 global -1.0 0.5 0.462565 .2 0.1 0.19 29
119 global 1.0 0.5 0.501350 .2 0.1 0.19 4
120 global -1.0 0.5 0.519392 .2 0.1 0.19 5
121 global 1.0 0.5 0.451422 .2 0.1 0.19 30
122 global -1.0 0.5 0.451679 .2 0.1 0.19 30
123 global 1.0 0.5 0.518897 .2 0.1 0.19 5
124 global -1.0 0.5 0.528201 .2 0.1 0.19 6
125 global 1.0 0.5 0.494142 .2 0.1 0.19 31
126 global -1.0 0.5 0.493522 .2 0.1 0.19 31
127 global 1.0 0.5 0.529134 .2 0.1 0.19 6
128 global -1.0 0.5 0.506548 .2 0.1 0.19 7
129 global 1.0 0.5 0.496313 .2 0.1 0.19 32
130 global -1.0 0.5 0.494557 .2 0.1 0.19 32
131 global 1.0 0.5 0.507128 .2 0.1 0.19 7
132 global -1.0 0.5 0.468456 .2 0.1 0.19 8
133 global 1.0 0.5 0.537312 .2 0.1 0.19 33
134 global -1.0 0.5 0.536484 .2 0.1 0.19 33
135 global 1.0 0.5 0.467735 .2 0.1 0.19 8
136 global -1.0 0.5 0.495681 .2 0.1 0.19 9
137 global 1.0 0.5 0.482897 .2 0.1 0.19 34
138 global -1.0 0.5 0.482621 .2 0.1 0.19 34
139 global 1.0 0.5 0.498296 .2 0.1 0.19 9
140 global -1.0 0.5 0.515773 .2 0.1 0.19 10
141 global 1.0 0.5 0.505297 .2 0.1 0.19 35
142 global -1.0 0.5 0.503821 .2 0.1 0.19 35
143 global 1.0 0.5 0.516110 .2 0.1 0.19 10
144 global -1.0 0.5 0.530862 .2 0.1 0.19 11
145 global 1.0 0.5 0.482920 .2 0.1 0.19 36
146 global -1.0 0.5 0.484305 .2 0.1 0.19 36
147 global 1.0 0.5 0.530233 .2 0.1 0.19 11
148 global -1.0 0.5 0.422693 .2 0.1 0.19 12
149 global 1.0 0.5 0.539059 .2 0.1 0.19 37
150 global -1.0 0.5 0.538405 .2 0.1 0.19 37
151 global 1.0 0.5 0.425974 .2 0.1 0.19 12
152 global -1.0 0.5 0.467645 .2 0.1 0.19 13
153 global 1.0 0.5 0.525226 .2 0.1 0.19 38
154 global -1.0 0.5 0.523575 .2 0.1 0.19 38
155 global 1.0 0.5 0.469128 .2 0.1 0.19 13
156 global -1.0 0.5 0.578664 .2 0.1 0.19 14
157 global 1.0 0.5 0.455326 .2 0.1 0.19 39
158 global -1.0 0.5 0.454817 .2 0.1 0.19 39
159 global 1.0 0.5 0.579207 .2 0.1 0.19 14
160 global -1.0 0.5 0.573880 .2 0.1 0.19 15
161 global 1.0 0.5 0.479401 .2 0.1 0.19 40
162 global -1.0 0.5 0.478461 .2 0.1 0.19 40
163 global 1.0 0.5 0.573339 .2 0.1 0.19 15
164 global -1.0 0.5 0.481469 .2 0.1 0.19 16
165 global 1.0 0.5 0.476060 .2 0.1 0.19 41
166 global -1.0 0.5 0.474894 .2 0.1 0.19 41
167 global 1.0 0.5 0.481315 .2 0.1 0.19 16
168 global -1.0 0.5 0.571346 .2 0.1 0.19 17
169 global 1.0 0.5 0.458773 .2 0.1 0.19 42
170 global -1.0 0.5 0.456202 .2 0.1 0.19 42
171 global 1.0 0.5 0.571984 .2 0.1 0.19 17
172 global -1.0 0.5 0.546277 .2 0.1 0.19 18
173 global 1.0 0.5 0.480730 .2 0.1 0.19 43
174 global -1.0 0.5 0.480422 .2 0.1 0.19 43
175 global 1.0 0.5 0.547247 .2 0.1 0.19 18
176 global -1.0 0.5 0.480745 .2 0.1 0.19 19
177 global 1.0 0.5 0.487102 .2 0.1 0.19 44
178 global -1.0 0.5 0.487122 .2 0.1 0.19 44
179 global 1.0 0.5 0.480933 .2 0.1 0.19 19
180 global -1.0 0.5 0.577436 .2 0.1 0.19 20
181 global 1.0 0.5 0.393677 .2 0.1 0.19 45
182 global -1.0 0.5 0.392353 .2 0.1 0.19 45
183 global 1.0 0.5 0.576744 .2 0.1 0.19 20
184 global -1.0 0.5 0.517964 .2 0.1 0.19 21
185 global 1.0 0.5 0.581170 .2 0.1 0.19 46
186 global -1.0 0.5 0.580195 .2 0.1 0.19 46
187 global 1.0 0.5 0.518234 .2 0.1 0.19 21
188 global -1.0 0.5 0.569093 .2 0.1 0.19 22
189 global 1.0 0.5 0.506826 .2 0.1 0.19 47
190 global -1.0 0.5 0.506420 .2 0.1 0.19 47
191 global 1.0 0.5 0.570603 .2 0.1 0.19 22
192 global -1.0 0.5 0.488540 .2 0.1 0.19 23
193 global 1.0 0.5 0.443582 .2 0.1 0.19 48
194 global -1.0 0.5 0.443114 .2 0.1 0.19 48
195 global 1.0 0.5 0.488061 .2 0.1 0.19 23
196 global -1.0 0.5 0.453792 .2 0.1 0.19 24
197 global 1.0 0.5 0.506329 .2 0.1 0.19 49
198 global -1.0 0.5 0.504633 .2 0.1 0.19 49
199 global 1.0 0.5 0.457626 .2 0.1 0.19 24
200 global -1.0 0.5 0.531331 .2 0.1 0.33 0
201 global 1.0 0.5 0.470078 .2 0.1 0.33 25
202 global -1.0 0.5 0.465199 .2 0.1 0.33 25
203 global 1.0 0.5 0.531987 .2 0.1 0.33 0
204 global -1.0 0.5 0.513375 .2 0.1 0.33 1
205 global 1.0 0.5 0.495866 .2 0.1 0.33 26
206 global -1.0 0.5 0.493429 .2 0.1 0.33 26
207 global 1.0 0.5 0.514837 .2 0.1 0.33 1
208 global -1.0 0.5 0.479277 .2 0.1 0.33 2
209 global 1.0 0.5 0.506046 .2 0.1 0.33 27
210 global -1.0 0.5 0.504550 .2 0.1 0.33 27
211 global 1.0 0.5 0.480630 .2 0.1 0.33 2
212 global -1.0 0.5 0.511574 .2 0.1 0.33 3
213 global 1.0 0.5 0.501083 .2 0.1 0.33 28
214 global -1.0 0.5 0.502101 .2 0.1 0.33 28
215 global 1.0 0.5 0.512578 .2 0.1 0.33 3
216 global -1.0 0.5 0.521725 .2 0.1 0.33 4
217 global 1.0 0.5 0.499326 .2 0.1 0.33 29
218 global -1.0 0.5 0.498093 .2 0.1 0.33 29
219 global 1.0 0.5 0.521458 .2 0.1 0.33 4
220 global -1.0 0.5 0.494450 .2 0.1 0.33 5
221 global 1.0 0.5 0.471364 .2 0.1 0.33 30
222 global -1.0 0.5 0.468281 .2 0.1 0.33 30
223 global 1.0 0.5 0.497783 .2 0.1 0.33 5
224 global -1.0 0.5 0.486404 .2 0.1 0.33 6
225 global 1.0 0.5 0.493302 .2 0.1 0.33 31
226 global -1.0 0.5 0.490377 .2 0.1 0.33 31
227 global 1.0 0.5 0.489015 .2 0.1 0.33 6
228 global -1.0 0.5 0.467028 .2 0.1 0.33 7
229 global 1.0 0.5 0.508761 .2 0.1 0.33 32
230 global -1.0 0.5 0.509799 .2 0.1 0.33 32
231 global 1.0 0.5 0.467748 .2 0.1 0.33 7
232 global -1.0 0.5 0.526298 .2 0.1 0.33 8
233 global 1.0 0.5 0.500533 .2 0.1 0.33 33
234 global -1.0 0.5 0.498146 .2 0.1 0.33 33
235 global 1.0 0.5 0.524142 .2 0.1 0.33 8
236 global -1.0 0.5 0.516043 .2 0.1 0.33 9
237 global 1.0 0.5 0.507420 .2 0.1 0.33 34
238 global -1.0 0.5 0.506591 .2 0.1 0.33 34
239 global 1.0 0.5 0.514202 .2 0.1 0.33 9
240 global -1.0 0.5 0.506169 .2 0.1 0.33 10
241 global 1.0 0.5 0.481931 .2 0.1 0.33 35
242 global -1.0 0.5 0.480721 .2 0.1 0.33 35
243 global 1.0 0.5 0.507336 .2 0.1 0.33 10
244 global -1.0 0.5 0.509220 .2 0.1 0.33 11
245 global 1.0 0.5 0.510222 .2 0.1 0.33 36
246 global -1.0 0.5 0.508937 .2 0.1 0.33 36
247 global 1.0 0.5 0.511802 .2 0.1 0.33 11
248 global -1.0 0.5 0.506493 .2 0.1 0.33 12
249 global 1.0 0.5 0.522251 .2 0.1 0.33 37
250 global -1.0 0.5 0.519954 .2 0.1 0.33 37
251 global 1.0 0.5 0.506048 .2 0.1 0.33 12
252 global -1.0 0.5 0.531376 .2 0.1 0.33 13
253 global 1.0 0.5 0.480923 .2 0.1 0.33 38
254 global -1.0 0.5 0.479173 .2 0.1 0.33 38
255 global 1.0 0.5 0.532124 .2 0.1 0.33 13
256 global -1.0 0.5 0.515667 .2 0.1 0.33 14
257 global 1.0 0.5 0.477703 .2 0.1 0.33 39
258 global -1.0 0.5 0.477332 .2 0.1 0.33 39
259 global 1.0 0.5 0.518812 .2 0.1 0.33 14
260 global -1.0 0.5 0.508115 .2 0.1 0.33 15
261 global 1.0 0.5 0.504584 .2 0.1 0.33 40
262 global -1.0 0.5 0.502887 .2 0.1 0.33 40
263 global 1.0 0.5 0.508717 .2 0.1 0.33 15
264 global -1.0 0.5 0.492448 .2 0.1 0.33 16
265 global 1.0 0.5 0.517857 .2 0.1 0.33 41
266 global -1.0 0.5 0.516883 .2 0.1 0.33 41
267 global 1.0 0.5 0.495051 .2 0.1 0.33 16
268 global -1.0 0.5 0.520610 .2 0.1 0.33 17
269 global 1.0 0.5 0.493531 .2 0.1 0.33 42
270 global -1.0 0.5 0.491551 .2 0.1 0.33 42
271 global 1.0 0.5 0.523172 .2 0.1 0.33 17
272 global -1.0 0.5 0.479651 .2 0.1 0.33 18
273 global 1.0 0.5 0.506898 .2 0.1 0.33 43
274 global -1.0 0.5 0.506927 .2 0.1 0.33 43
275 global 1.0 0.5 0.480595 .2 0.1 0.33 18
276 global -1.0 0.5 0.504720 .2 0.1 0.33 19
277 global 1.0 0.5 0.479658 .2 0.1 0.33 44
278 global -1.0 0.5 0.478021 .2 0.1 0.33 44
279 global 1.0 0.5 0.507138 .2 0.1 0.33 19
280 global -1.0 0.5 0.491130 .2 0.1 0.33 20
281 global 1.0 0.5 0.496942 .2 0.1 0.33 45
282 global -1.0 0.5 0.497258 .2 0.1 0.33 45
283 global 1.0 0.5 0.493528 .2 0.1 0.33 20
284 global -1.0 0.5 0.492793 .2 0.1 0.33 21
285 global 1.0 0.5 0.493424 .2 0.1 0.33 46
286 global -1.0 0.5 0.493200 .2 0.1 0.33 46
287 global 1.0 0.5 0.492713 .2 0.1 0.33 21
288 global -1.0 0.5 0.489127 .2 0.1 0.33 22
289 global 1.0 0.5 0.483915 .2 0.1 0.33 47
290 global -1.0 0.5 0.481061 .2 0.1 0.33 47
291 global 1.0 0.5 0.488013 .2 0.1 0.33 22
292 global -1.0 0.5 0.504425 .2 0.1 0.33 23
293 global 1.0 0.5 0.498938 .2 0.1 0.33 48
294 global -1.0 0.5 0.496697 .2 0.1 0.33 48
295 global 1.0 0.5 0.506908 .2 0.1 0.33 23
296 global -1.0 0.5 0.515370 .2 0.1 0.33 24
297 global 1.0 0.5 0.483640 .2 0.1 0.33 49
298 global -1.0 0.5 0.481382 .2 0.1 0.33 49
299 global 1.0 0.5 0.515142 .2 0.1 0.33 24
300 global -1.0 0.5 0.500402 .2 0.1 0.58 0
301 global 1.0 0.5 0.494426 .2 0.1 0.58 25
302 global -1.0 0.5 0.494690 .2 0.1 0.58 25
303 global 1.0 0.5 0.500070 .2 0.1 0.58 0
304 global -1.0 0.5 0.489721 .2 0.1 0.58 1
305 global 1.0 0.5 0.496370 .2 0.1 0.58 26
306 global -1.0 0.5 0.495916 .2 0.1 0.58 26
307 global 1.0 0.5 0.490477 .2 0.1 0.58 1
308 global -1.0 0.5 0.498907 .2 0.1 0.58 2
309 global 1.0 0.5 0.492835 .2 0.1 0.58 27
310 global -1.0 0.5 0.492212 .2 0.1 0.58 27
311 global 1.0 0.5 0.500046 .2 0.1 0.58 2
312 global -1.0 0.5 0.502715 .2 0.1 0.58 3
313 global 1.0 0.5 0.498724 .2 0.1 0.58 28
314 global -1.0 0.5 0.497406 .2 0.1 0.58 28
315 global 1.0 0.5 0.503790 .2 0.1 0.58 3
316 global -1.0 0.5 0.499766 .2 0.1 0.58 4
317 global 1.0 0.5 0.501957 .2 0.1 0.58 29
318 global -1.0 0.5 0.500320 .2 0.1 0.58 29
319 global 1.0 0.5 0.500338 .2 0.1 0.58 4
320 global -1.0 0.5 0.483482 .2 0.1 0.58 5
321 global 1.0 0.5 0.507811 .2 0.1 0.58 30
322 global -1.0 0.5 0.507428 .2 0.1 0.58 30
323 global 1.0 0.5 0.485594 .2 0.1 0.58 5
324 global -1.0 0.5 0.492811 .2 0.1 0.58 6
325 global 1.0 0.5 0.520533 .2 0.1 0.58 31
326 global -1.0 0.5 0.518579 .2 0.1 0.58 31
327 global 1.0 0.5 0.492884 .2 0.1 0.58 6
328 global -1.0 0.5 0.503223 .2 0.1 0.58 7
329 global 1.0 0.5 0.493062 .2 0.1 0.58 32
330 global -1.0 0.5 0.491476 .2 0.1 0.58 32
331 global 1.0 0.5 0.504420 .2 0.1 0.58 7
332 global -1.0 0.5 0.499275 .2 0.1 0.58 8
333 global 1.0 0.5 0.490814 .2 0.1 0.58 33
334 global -1.0 0.5 0.489197 .2 0.1 0.58 33
335 global 1.0 0.5 0.498974 .2 0.1 0.58 8
336 global -1.0 0.5 0.508627 .2 0.1 0.58 9
337 global 1.0 0.5 0.501324 .2 0.1 0.58 34
338 global -1.0 0.5 0.500464 .2 0.1 0.58 34
339 global 1.0 0.5 0.508363 .2 0.1 0.58 9
340 global -1.0 0.5 0.508364 .2 0.1 0.58 10
341 global 1.0 0.5 0.498019 .2 0.1 0.58 35
342 global -1.0 0.5 0.497573 .2 0.1 0.58 35
343 global 1.0 0.5 0.509451 .2 0.1 0.58 10
344 global -1.0 0.5 0.493032 .2 0.1 0.58 11
345 global 1.0 0.5 0.493936 .2 0.1 0.58 36
346 global -1.0 0.5 0.492152 .2 0.1 0.58 36
